Jurisdiction,State,Land Area,Population,Population Density,PD Rank,Cases,Deaths,Score
Los Angeles,California,4057.88,10039107.00,2473.98,46,1214431,22777,1442201
New York City,New York,302.65,8336817.00,27546.07,1,794261,30564,1099901
Cook,Illinois,945.33,5150233.00,5448.08,13,487602,10112,588722
Harris,Texas,1703.48,4713325.00,2766.88,39,369613,5601,425623
Maricopa,Arizona,9200.14,4485414.00,487.54,274,521072,9534,616412
San Diego,California,4206.63,3338330.00,793.59,181,267599,3492,302519
Orange,California,790.57,3175692.00,4016.96,21,264600,4562,310220
Miami-Dade,Florida,1897.72,2716940.00,1431.69,103,433451,5724,490691
Dallas,Texas,871.28,2635516.00,3024.88,31,288216,3757,325786
Riverside,California,7206.48,2470546.00,342.82,373,292967,4117,334137
Clark,Nevada,7891.43,2266715.00,287.24,428,232595,4048,273075
King,Washington,2115.57,2252782.00,1064.86,142,87628,1451,102138
San Bernardino,California,20056.94,2180085.00,108.69,835,289610,4076,330370
Tarrant,Texas,863.61,2102515.00,2434.57,47,248606,3184,280446
Bexar,Texas,1239.82,2003554.00,1616.00,86,201704,3210,233804
Broward,Florida,1209.79,1952778.00,1614.15,87,207580,2591,233490
Santa Clara,California,1290.10,1927852.00,1494.34,99,113446,1902,132466
Wayne,Michigan,612.08,1749343.00,2858.03,34,109293,4219,151483
Alameda,California,739.02,1671329.00,2261.55,54,82561,1356,96121
Middlesex,Massachusetts,817.82,1611699.00,1970.73,67,117840,3571,153550
Philadelphia,Pennsylvania,134.10,1584064.00,11812.56,5,124489,3246,156949
Sacramento,California,964.64,1552058.00,1608.95,89,95963,1576,111723
Palm Beach,Florida,1969.76,1496770.00,759.87,193,127828,2596,153788
Suffolk,New York,912.05,1476601.00,1618.99,85,174799,3198,206779
Hillsborough,Florida,1020.21,1471968.00,1442.81,102,117769,1577,133539
Orange,Florida,903.43,1393452.00,1542.40,94,119870,1160,131470
Nassau,New York,284.72,1356924.00,4765.82,16,160800,3012,190920
Franklin,Ohio,532.19,1316756.00,2474.22,45,115433,1300,128433
Travis,Texas,990.20,1273954.00,1286.56,118,78108,931,87418
Hennepin,Minnesota,553.59,1265843.00,2286.61,53,104632,1633,120962
Oakland,Michigan,867.66,1257584.00,1449.40,101,80481,2046,100941
Cuyahoga,Ohio,457.19,1235072.00,2701.44,41,99528,1968,119208
Allegheny,Pennsylvania,730.08,1216045.00,1665.63,81,81655,1779,99445
Salt Lake,Utah,742.28,1160437.00,1563.34,92,142183,807,150253
Contra Costa,California,715.94,1153526.00,1611.20,88,64573,737,71943
Fairfax,Virginia,390.97,1147532.00,2935.09,33,69708,1035,80058
Wake,North Carolina,835.22,1111761.00,1331.10,112,82649,586,88509
Mecklenburg,North Carolina,523.84,1110356.00,2119.65,61,100377,904,109417
Fulton,Georgia,526.64,1063937.00,2020.24,63,90113,1232,102433
Montgomery,Maryland,491.25,1050688.00,2138.81,59,65454,1456,80014
Pima,Arizona,9187.04,1047279.00,114.00,799,111770,2325,135020
Collin,Texas,841.23,1034730.00,1230.02,123,85550,779,93340
Fresno,California,5957.99,999101.00,167.69,617,97969,1527,113239
St. Louis,Missouri,507.80,994205.00,1957.87,68,91224,2063,111854
Pinellas,Florida,273.80,974996.00,3560.98,27,70089,1524,85329
Honolulu,Hawaii,600.74,974563.00,1622.27,84,22883,360,26483
Westchester,New York,430.50,967506.00,2247.40,55,115221,2163,136851
Marion,Indiana,396.30,964582.00,2433.97,48,92626,1749,110116
Duval,Florida,762.19,957755.00,1256.58,121,91342,1263,103972
